Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
Mysore,West,Night,Medium,No,No,Middle,Medium,Safe
Tumkur,East,Morning,High,Yes,No,Middle,Low,Unsafe
Davangere,South,Morning,Low,No,No,Outer,High,Unsafe
Tumkur,West,Night,Medium,No,No,Middle,Low,Safe
Bangalore,North,Evening,Medium,No,Yes,Inner,Low,Unsafe
Bangalore,South,Afternoon,Medium,No,No,Outer,Low,Unsafe
Bangalore,North,Afternoon,High,No,No,Outer,Medium,Unsafe
Bangalore,South,Afternoon,High,Yes,No,Inner,Low,Safe
Belgaum,Central,Night,Medium,Yes,No,Inner,High,Unsafe
Hubli,West,Afternoon,Low,Yes,Yes,Middle,High,Unsafe
Mangalore,North,Morning,Medium,No,Yes,Outer,Medium,Unsafe
Hubli,West,Night,Low,No,No,Middle,High,Unsafe
Belgaum,Central,Night,High,No,Yes,Outer,Low,Safe
Mysore,South,Morning,Medium,No,No,Middle,Medium,Safe
Tumkur,Central,Evening,High,Yes,No,Outer,High,Safe
Davangere,North,Afternoon,Low,No,Yes,Outer,High,Unsafe
Bangalore,West,Night,High,Yes,Yes,Outer,Low,Safe
Hubli,West,Morning,High,No,No,Middle,Medium,Safe
Belgaum,Central,Afternoon,High,No,No,Middle,Medium,Unsafe
Tumkur,South,Morning,High,No,No,Inner,High,Safe
Shimoga,Central,Morning,Medium,No,No,Middle,Low,Safe
Davangere,West,Morning,Low,No,No,Outer,Low,Unsafe
Belgaum,East,Night,High,Yes,Yes,Middle,Low,Safe
Tumkur,Central,Evening,Low,Yes,Yes,Inner,High,Unsafe
Mysore,West,Evening,High,Yes,No,Inner,Low,Safe
Davangere,East,Afternoon,High,No,Yes,Inner,Low,Unsafe
Hubli,West,Evening,High,No,Yes,Outer,Medium,Safe
Belgaum,North,Morning,Medium,Yes,Yes,Middle,Low,Unsafe
Shimoga,South,Afternoon,Low,No,No,Middle,High,Safe
Davangere,South,Evening,Medium,Yes,Yes,Middle,Medium,Unsafe
Davangere,North,Night,Low,No,No,Middle,High,Safe
Bangalore,West,Morning,Low,No,Yes,Middle,Low,Safe
Mysore,East,Night,Medium,No,No,Middle,Low,Unsafe
Bangalore,North,Morning,High,No,Yes,Middle,High,Unsafe
Tumkur,West,Afternoon,High,Yes,Yes,Outer,High,Unsafe
Hubli,Central,Night,High,Yes,Yes,Inner,High,Safe
Belgaum,West,Afternoon,Medium,No,Yes,Outer,Low,Safe
Hubli,North,Morning,High,No,Yes,Inner,Low,Unsafe
Mysore,West,Afternoon,Low,No,No,Middle,High,Safe
Belgaum,South,Night,High,Yes,No,Outer,Medium,Unsafe
Mangalore,Central,Evening,High,Yes,No,Middle,Medium,Safe
Mangalore,North,Evening,High,Yes,Yes,Outer,Medium,Safe
Bangalore,West,Morning,Low,Yes,Yes,Inner,Medium,Safe
Hubli,South,Morning,Medium,Yes,Yes,Middle,High,Unsafe
Mysore,Central,Morning,Medium,No,No,Middle,High,Unsafe
Davangere,West,Evening,Low,No,Yes,Outer,Medium,Safe
Mysore,West,Morning,Low,Yes,No,Outer,High,Safe
Tumkur,Central,Afternoon,Medium,No,No,Middle,High,Safe
Shimoga,East,Morning,High,No,No,Middle,Low,Safe
Hubli,North,Afternoon,High,No,No,Inner,Medium,Unsafe
Mysore,East,Afternoon,Medium,No,Yes,Inner,High,Safe
Bangalore,West,Night,Low,No,Yes,Middle,High,Safe
Hubli,South,Afternoon,High,Yes,Yes,Outer,Low,Safe
Tumkur,Central,Afternoon,Low,Yes,No,Outer,Medium,Unsafe
Mangalore,North,Night,High,No,No,Outer,Low,Safe
Davangere,South,Morning,High,Yes,Yes,Middle,Medium,Unsafe
Bangalore,Central,Afternoon,Medium,Yes,Yes,Outer,Medium,Safe
Bangalore,West,Morning,Low,No,Yes,Outer,Low,Unsafe
Mangalore,West,Afternoon,Medium,No,Yes,Inner,Low,Unsafe
Tumkur,North,Night,Low,Yes,No,Inner,High,Safe
Mangalore,North,Afternoon,Low,No,Yes,Middle,Low,Safe
Belgaum,Central,Night,Medium,No,No,Outer,Low,Unsafe
Davangere,Central,Morning,High,Yes,Yes,Inner,Low,Safe
Belgaum,West,Morning,Low,No,Yes,Outer,Medium,Unsafe
Shimoga,East,Afternoon,High,No,Yes,Middle,Low,Unsafe
Tumkur,Central,Afternoon,Low,Yes,Yes,Outer,Low,Unsafe
Bangalore,Central,Afternoon,Medium,No,No,Middle,Medium,Safe
Tumkur,South,Night,Low,Yes,Yes,Outer,Low,Unsafe
Mangalore,North,Afternoon,Low,No,Yes,Outer,Medium,Unsafe
Shimoga,East,Night,High,No,No,Middle,Low,Safe
Belgaum,South,Evening,High,Yes,Yes,Inner,Medium,Safe
Belgaum,West,Evening,High,No,No,Inner,High,Unsafe
Davangere,Central,Morning,Medium,No,No,Outer,Low,Unsafe
Davangere,West,Evening,High,Yes,No,Middle,Medium,Safe
Davangere,East,Afternoon,Low,Yes,Yes,Outer,Low,Unsafe
Hubli,Central,Afternoon,Medium,No,No,Inner,High,Safe
Belgaum,West,Afternoon,High,Yes,Yes,Inner,Medium,Unsafe
Hubli,North,Morning,Low,No,No,Outer,Medium,Safe
Davangere,East,Evening,High,No,Yes,Middle,Medium,Unsafe
Davangere,West,Evening,Low,Yes,No,Outer,Low,Safe
Tumkur,North,Afternoon,High,No,Yes,Inner,Medium,Safe
Shimoga,West,Evening,Medium,No,Yes,Outer,Low,Safe
Tumkur,North,Night,High,No,No,Middle,High,Safe
Hubli,Central,Night,Medium,No,Yes,Inner,Medium,Safe
Hubli,North,Night,High,Yes,No,Outer,High,Safe
Davangere,North,Afternoon,Medium,Yes,Yes,Outer,Medium,Safe
Mangalore,Central,Night,Medium,Yes,Yes,Middle,Medium,Safe
Hubli,North,Evening,Low,No,Yes,Middle,Low,Unsafe
Belgaum,West,Afternoon,High,Yes,No,Outer,Low,Unsafe
Davangere,South,Night,Medium,Yes,Yes,Outer,Low,Safe
Hubli,South,Evening,High,Yes,Yes,Inner,Low,Safe
Belgaum,South,Evening,High,Yes,Yes,Outer,Medium,Unsafe
Hubli,West,Afternoon,High,No,No,Inner,High,Safe
Mysore,West,Evening,High,No,No,Outer,Low,Safe
Mangalore,South,Afternoon,Medium,Yes,No,Outer,Low,Safe
Hubli,North,Morning,High,Yes,Yes,Inner,Medium,Safe
Mysore,East,Evening,High,No,No,Outer,Medium,Unsafe
Hubli,North,Morning,Medium,Yes,Yes,Middle,Medium,Safe
Shimoga,East,Evening,Medium,No,Yes,Middle,Low,Unsafe
Tumkur,Central,Morning,Low,No,No,Inner,High,Unsafe
Davangere,West,Morning,Low,No,No,Inner,High,Safe
Tumkur,South,Afternoon,Low,No,No,Middle,Medium,Safe
Shimoga,Central,Evening,Low,No,No,Middle,Medium,Safe
Shimoga,Central,Morning,Medium,Yes,Yes,Middle,Medium,Unsafe
Shimoga,North,Evening,High,Yes,Yes,Inner,Low,Safe
Bangalore,North,Evening,Medium,No,Yes,Middle,Medium,Unsafe
Shimoga,East,Night,High,No,No,Inner,Medium,Safe
Belgaum,South,Evening,High,No,Yes,Outer,Low,Safe
Bangalore,North,Afternoon,Medium,No,No,Middle,Low,Unsafe
Mangalore,Central,Morning,Medium,No,Yes,Outer,High,Safe
Tumkur,South,Afternoon,Low,Yes,No,Middle,Low,Unsafe
Hubli,East,Evening,Low,No,No,Inner,Low,Unsafe
Mysore,Central,Afternoon,Medium,Yes,Yes,Outer,High,Unsafe
Mangalore,North,Afternoon,High,No,Yes,Middle,High,Safe
Mangalore,West,Night,Medium,No,No,Middle,High,Safe
Mangalore,South,Morning,Medium,No,No,Inner,Medium,Unsafe
Davangere,Central,Evening,Medium,No,Yes,Outer,Medium,Safe
Davangere,South,Afternoon,Medium,Yes,Yes,Inner,Medium,Safe
Davangere,East,Night,Low,No,No,Middle,High,Safe
Tumkur,South,Afternoon,High,No,Yes,Inner,High,Safe
Davangere,West,Evening,Medium,No,No,Outer,Low,Safe
Tumkur,North,Morning,Medium,Yes,No,Middle,Medium,Safe
Mangalore,Central,Evening,High,Yes,No,Middle,Medium,Safe
Mysore,South,Afternoon,Medium,Yes,Yes,Middle,Medium,Unsafe
Tumkur,North,Morning,High,No,No,Middle,High,Unsafe
Mangalore,North,Night,Medium,No,Yes,Outer,Medium,Unsafe
Mysore,South,Afternoon,High,Yes,No,Inner,Medium,Safe
Tumkur,West,Morning,High,Yes,Yes,Inner,Low,Safe
Mangalore,North,Afternoon,Low,No,No,Middle,Medium,Unsafe
Davangere,Central,Morning,Low,Yes,Yes,Middle,High,Unsafe
Bangalore,West,Evening,High,No,Yes,Inner,Medium,Safe
Bangalore,North,Afternoon,Medium,Yes,No,Inner,Low,Safe
Hubli,North,Night,High,Yes,No,Outer,Low,Unsafe
Davangere,South,Morning,Low,Yes,Yes,Middle,High,Safe
Tumkur,East,Evening,Low,Yes,Yes,Middle,Low,Safe
Mangalore,West,Night,Low,No,No,Inner,High,Safe
Mangalore,South,Afternoon,Medium,No,No,Inner,High,Safe
Davangere,North,Night,Medium,Yes,Yes,Inner,Medium,Unsafe
Davangere,West,Afternoon,Medium,No,Yes,Outer,Low,Unsafe
Bangalore,North,Afternoon,Medium,Yes,Yes,Inner,Low,Safe
Mysore,West,Morning,Low,Yes,Yes,Outer,Low,Safe
Hubli,Central,Evening,Low,No,Yes,Outer,Medium,Unsafe
Mangalore,South,Afternoon,Medium,No,Yes,Outer,High,Safe
Davangere,East,Night,Low,Yes,Yes,Outer,High,Safe
Mangalore,Central,Evening,Low,No,No,Middle,High,Safe
Belgaum,West,Night,High,No,No,Inner,Medium,Unsafe
Bangalore,Central,Night,Medium,No,No,Inner,Medium,Safe
Bangalore,West,Night,Low,Yes,No,Inner,Low,Safe
Davangere,West,Night,Low,No,Yes,Middle,Medium,Safe
Belgaum,West,Evening,Medium,No,No,Middle,Medium,Safe
Mysore,South,Night,Medium,No,Yes,Middle,Medium,Unsafe
Belgaum,West,Evening,Medium,No,No,Outer,High,Unsafe
Shimoga,North,Evening,Medium,Yes,Yes,Outer,Medium,Safe
Shimoga,South,Evening,High,No,No,Inner,Low,Safe
Mangalore,Central,Evening,Low,No,No,Outer,Medium,Unsafe
Mangalore,North,Afternoon,Low,No,Yes,Middle,High,Safe
Bangalore,Central,Evening,High,No,No,Outer,High,Safe
Shimoga,North,Morning,Medium,No,Yes,Inner,Low,Safe
Hubli,Central,Morning,Low,Yes,Yes,Middle,Medium,Unsafe
Belgaum,North,Evening,Low,No,Yes,Outer,Medium,Safe
Bangalore,South,Night,Low,No,Yes,Inner,Medium,Unsafe
Davangere,South,Afternoon,Low,No,No,Outer,Low,Unsafe
Shimoga,North,Morning,Low,Yes,Yes,Middle,Low,Safe
Shimoga,South,Evening,Low,Yes,Yes,Middle,High,Safe
Mysore,West,Night,Medium,Yes,Yes,Outer,Medium,Unsafe
Shimoga,West,Afternoon,Medium,No,No,Middle,Medium,Unsafe
Bangalore,East,Evening,Low,No,No,Outer,Low,Unsafe
Davangere,East,Morning,Medium,Yes,No,Middle,High,Safe
Tumkur,West,Afternoon,High,Yes,No,Inner,Medium,Safe
Davangere,Central,Night,Low,No,Yes,Middle,Medium,Unsafe
Davangere,West,Afternoon,Medium,No,Yes,Outer,Low,Safe
Shimoga,East,Afternoon,Medium,No,Yes,Middle,Medium,Unsafe
Belgaum,South,Afternoon,Medium,No,Yes,Outer,Medium,Unsafe
Tumkur,Central,Evening,Low,No,Yes,Inner,Medium,Safe
Tumkur,West,Afternoon,Medium,Yes,No,Middle,Low,Safe
Davangere,South,Morning,Low,No,No,Outer,Medium,Unsafe
Bangalore,Central,Evening,High,Yes,No,Outer,Low,Safe
Bangalore,North,Evening,High,Yes,Yes,Middle,Medium,Safe
Bangalore,Central,Afternoon,Low,No,Yes,Outer,Medium,Safe
Davangere,South,Evening,High,Yes,Yes,Middle,High,Unsafe
Tumkur,West,Morning,Low,Yes,No,Inner,Medium,Safe
Mysore,Central,Afternoon,High,No,Yes,Inner,Low,Safe
Hubli,East,Evening,High,Yes,Yes,Inner,Medium,Unsafe
Hubli,North,Morning,Low,Yes,No,Middle,Medium,Unsafe
Hubli,East,Night,Medium,No,No,Inner,Medium,Safe
Hubli,South,Morning,Medium,Yes,No,Outer,Medium,Safe
Hubli,North,Evening,High,No,No,Outer,High,Unsafe
Belgaum,West,Morning,High,Yes,No,Outer,Low,Safe
Shimoga,South,Afternoon,Medium,No,No,Outer,High,Safe
Hubli,East,Night,Low,No,No,Inner,Medium,Unsafe
Mangalore,South,Evening,High,Yes,No,Middle,Medium,Safe
Shimoga,North,Night,High,Yes,No,Inner,High,Safe
Davangere,Central,Night,High,No,Yes,Inner,High,Unsafe
Davangere,East,Evening,Medium,Yes,Yes,Inner,Medium,Unsafe
Davangere,West,Evening,Medium,No,Yes,Outer,Low,Safe
Belgaum,East,Afternoon,High,Yes,No,Middle,Medium,Unsafe
Davangere,West,Morning,Medium,Yes,Yes,Middle,Low,Unsafe
Bangalore,East,Night,High,Yes,No,Outer,Medium,Safe
Belgaum,East,Morning,Medium,Yes,Yes,Middle,High,Unsafe
Mangalore,Central,Afternoon,Low,No,Yes,Middle,High,Unsafe
Davangere,West,Afternoon,Medium,Yes,No,Middle,Medium,Safe
Shimoga,North,Night,Medium,No,Yes,Outer,Medium,Safe
Bangalore,North,Afternoon,High,Yes,No,Inner,High,Safe
Hubli,North,Evening,Low,No,Yes,Inner,Low,Safe
Mangalore,North,Afternoon,High,Yes,No,Middle,Medium,Safe
Bangalore,West,Evening,High,Yes,No,Middle,Low,Safe
Belgaum,Central,Evening,Medium,No,Yes,Middle,High,Unsafe
Mysore,Central,Night,Medium,No,No,Middle,Low,Safe
Davangere,West,Evening,Low,No,Yes,Middle,High,Safe
Shimoga,West,Afternoon,Medium,No,Yes,Inner,High,Unsafe
Davangere,West,Night,High,No,Yes,Outer,Medium,Unsafe
Mangalore,West,Evening,Low,No,Yes,Outer,Medium,Safe
Shimoga,West,Afternoon,Low,Yes,No,Outer,High,Unsafe
Mysore,Central,Morning,Medium,No,Yes,Outer,High,Unsafe
Bangalore,South,Night,High,Yes,Yes,Middle,Medium,Unsafe
Davangere,North,Night,High,No,Yes,Inner,Low,Unsafe
Bangalore,West,Evening,Low,Yes,No,Middle,Medium,Unsafe
Shimoga,East,Evening,Low,Yes,Yes,Outer,Low,Safe
Belgaum,Central,Afternoon,Low,No,No,Middle,Medium,Safe
Tumkur,Central,Afternoon,High,No,Yes,Inner,High,Safe
Hubli,West,Afternoon,High,No,No,Middle,Low,Unsafe
Mangalore,North,Night,High,Yes,Yes,Outer,High,Safe
Bangalore,East,Evening,Medium,No,No,Inner,Medium,Unsafe
Davangere,South,Afternoon,Low,Yes,Yes,Outer,Low,Safe
Tumkur,Central,Afternoon,Medium,No,Yes,Middle,Medium,Unsafe
Tumkur,South,Morning,Medium,No,Yes,Outer,High,Safe
Davangere,South,Night,High,No,Yes,Inner,High,Safe
Shimoga,South,Morning,High,Yes,No,Middle,Low,Unsafe
Mysore,East,Afternoon,High,Yes,Yes,Middle,Low,Safe
Mysore,North,Night,Medium,Yes,No,Inner,Medium,Safe
Tumkur,West,Afternoon,Medium,Yes,No,Middle,Medium,Unsafe
Bangalore,East,Night,High,No,Yes,Outer,Low,Unsafe
Hubli,East,Night,Low,No,No,Inner,Low,Safe
Bangalore,West,Night,High,No,No,Inner,Low,Unsafe
Davangere,West,Night,High,Yes,Yes,Middle,Medium,Safe
Hubli,West,Evening,Low,No,Yes,Middle,High,Unsafe
Tumkur,West,Evening,Low,No,Yes,Inner,Medium,Safe
Bangalore,North,Night,High,No,Yes,Middle,High,Unsafe
Tumkur,North,Morning,Medium,Yes,No,Middle,High,Safe
Shimoga,East,Night,Low,Yes,Yes,Outer,Low,Unsafe
Belgaum,East,Night,High,Yes,Yes,Middle,Medium,Unsafe
