Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
1079,3,-1,0,0,0,0,0,0
188,3,-1,0,0,0,0,0,0
138,3,-1,0,0,0,0,0,0
1082,3,-1,0,0,0,0,0,0
343,3,-1,0,0,0,0,0,0
2008,3,-1,0,0,0,0,0,0
510,3,-1,0,0,0,0,0,0
510,3,-1,0,0,0,0,0,0
510,3,-1,0,0,0,0,0,0
1208,3,-1,0,0,0,0,0,0
1219,3,-1,0,0,0,0,0,0
1207,3,-1,0,0,0,0,0,0
1221,3,-1,0,0,0,0,0,0
1208,3,-1,0,0,0,0,0,0
1207,3,-1,0,0,0,0,0,0
1207,3,-1,0,0,0,0,0,0
1221,3,-1,0,0,0,0,0,0
2166,3,-1,0,0,0,0,0,0
1023,3,-1,0,0,0,0,0,0
587,3,-1,0,0,0,0,0,0
2166,3,-1,0,0,0,0,0,0
2166,3,-1,0,0,0,0,0,0
1735,3,-1,0,0,0,0,0,0
1625,3,-1,0,0,0,0,0,0
1475,3,-1,0,0,0,0,0,0
103,3,-1,0,0,0,0,0,0
1484,3,-1,0,0,0,0,0,0
810,3,-1,0,0,0,0,0,0
1738,3,-1,0,0,0,0,0,0
1756,3,-1,0,0,0,0,0,0
1777,3,-1,0,0,0,0,0,0
1764,3,-1,0,0,0,0,0,0
1719,3,-1,0,0,0,0,0,0
1138,3,-1,0,0,0,0,0,0
1763,3,-1,0,0,0,0,0,0
1730,3,-1,0,0,0,0,0,0
1721,3,-1,0,0,0,0,0,0
2029,3,-1,0,0,0,0,0,0
2052,3,-1,0,0,0,0,0,0
1744,3,-1,0,0,0,0,0,0
1775,3,-1,0,0,0,0,0,0
1772,3,-1,0,0,0,0,0,0
1598,3,-1,0,0,0,0,0,0
1750,3,-1,0,0,0,0,0,0
1774,3,-1,0,0,0,0,0,0
809,3,-1,0,0,0,0,0,0
1761,3,-1,0,0,0,0,0,0
1682,3,-1,0,0,0,0,0,0
1733,3,-1,0,0,0,0,0,0
608,3,-1,0,0,0,0,0,0
510,3,-1,0,0,0,0,0,0
594,3,-1,0,0,0,0,0,0
846,3,-1,0,0,0,0,0,0
940,3,-1,0,0,0,0,0,0
940,3,-1,0,0,0,0,0,0
594,3,-1,0,0,0,0,0,0
1254,3,-1,0,0,0,0,0,0
1707,3,-1,0,0,0,0,0,0
488,3,-1,0,0,0,0,0,0
750,3,-1,0,0,0,0,0,0
488,3,-1,0,0,0,0,0,0
506,3,-1,0,0,0,0,0,0
1099,3,-1,0,0,0,0,0,0
317,3,-1,0,0,0,0,0,0
1289,3,-1,0,0,0,0,0,0
587,3,-1,0,0,0,0,0,0
594,3,-1,0,0,0,0,0,0
594,3,-1,0,0,0,0,0,0
701,3,-1,0,0,0,0,0,0
488,3,-1,0,0,0,0,0,0
488,3,-1,0,0,0,0,0,0
488,3,-1,0,0,0,0,0,0
488,3,-1,0,0,0,0,0,0
239,3,-1,0,0,0,0,0,0
96,3,-1,0,0,0,0,0,0
2021,3,-1,0,0,0,0,0,0
239,3,-1,0,0,0,0,0,0
1132,3,-1,0,0,0,0,0,0
1244,3,-1,0,0,0,0,0,0
502,3,-1,0,0,0,0,0,0
437,3,-1,0,0,0,0,0,0
437,3,-1,0,0,0,0,0,0
437,3,-1,0,0,0,0,0,0
230,3,-1,0,0,0,0,0,0
509,3,-1,0,0,0,0,0,0
664,3,-1,0,0,0,0,0,0
509,3,-1,0,0,0,0,0,0
509,3,-1,0,0,0,0,0,0
503,3,-1,0,0,0,0,0,0
1085,3,-1,0,0,0,0,0,1
1185,3,-1,0,0,0,0,0,1
532,3,-1,0,0,0,0,0,1
1077,3,-1,0,0,0,0,0,1
139,3,-1,0,0,0,0,0,1
1074,3,-1,0,0,0,0,0,1
331,3,-1,0,0,0,0,0,1
299,3,-1,0,0,0,0,0,1
1850,3,-1,0,0,0,0,0,1
2012,3,-1,0,0,0,0,0,1
2156,3,-1,0,0,0,0,0,1
510,3,-1,0,0,0,0,0,1
510,3,-1,0,0,0,0,0,1
510,3,-1,0,0,0,0,0,1
510,3,-1,0,0,0,0,0,1
1220,3,-1,0,0,0,0,0,1
1221,3,-1,0,0,0,0,0,1
594,3,-1,0,0,0,0,0,1
1935,3,-1,0,0,0,0,0,1
2166,3,-1,0,0,0,0,0,1
1221,3,-1,0,0,0,0,0,1
1207,3,-1,0,0,0,0,0,1
1207,3,-1,0,0,0,0,0,1
1225,3,-1,0,0,0,0,0,1
1207,3,-1,0,0,0,0,0,1
2166,3,-1,0,0,0,0,0,1
2166,3,-1,0,0,0,0,0,1
2166,3,-1,0,0,0,0,0,1
1206,3,-1,0,0,0,0,0,1
588,3,-1,0,0,0,0,0,1
1030,3,-1,0,0,0,0,0,1
1917,3,-1,0,0,0,0,0,1
1468,3,-1,0,0,0,0,0,1
149,3,-1,0,0,0,0,0,1
1459,3,-1,0,0,0,0,0,1
1715,3,-1,0,0,0,0,0,1
344,3,-1,0,0,0,0,0,1
772,3,-1,0,0,0,0,0,1
1473,3,-1,0,0,0,0,0,1
975,3,-1,0,0,0,0,0,1
207,3,-1,0,0,0,0,0,1
1684,3,-1,0,0,0,0,0,1
1600,3,-1,0,0,0,0,0,1
896,3,-1,0,0,0,0,0,1
774,3,-1,0,0,0,0,0,1
