Area,Zone,Time,People.Frequency,Is.Police_Station,Is.Bar,Tier,Residence.Level,Class
jayanagara 6th block bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
4th block jayanagara bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
36th cross jayanagara 7th block bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
jayanagara 7th block bangalore,Residential,Evening,Low,No,No,Outer,Low,Safe
8th main 4th block jayanagar bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
shakambari nagar bangalore,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore.,Residential,Morning,Low,No,No,Outer,Low,Safe
bangalore.,Residential,Night,Low,No,No,Outer,Low,Safe
bangalore.,Residential,Evening,Low,No,No,Outer,Low,Safe
karnaka -560078,Residential,Morning,Low,No,No,Outer,Low,Safe
karnaka-560076,Residential,Night,Low,No,No,Outer,Low,Safe
karnaka,Residential,Morning,Low,No,No,Outer,Low,Safe
karnaka-560078,Residential,Morning,Low,No,No,Outer,Low,Safe
karnaka -560078,Residential,Night,Low,No,No,Outer,Low,Safe
karnaka,Residential,Night,Low,No,No,Outer,Low,Safe
karnaka,Residential,Night,Low,No,No,Outer,Low,Safe
karnaka-560078,Residential,Night,Low,No,No,Outer,Low,Safe
unknown,Residential,Night,Low,No,No,Outer,Low,Safe
j p nagar 2nd phase. bangalore-78,Residential,Night,Low,No,No,Outer,Low,Safe
bengaluru,Residential,Morning,Low,No,No,Outer,Low,Safe
unknown,Residential,Evening,Low,No,No,Outer,Low,Safe
unknown,Residential,Morning,Low,No,No,Outer,Low,Safe
no 223 k.m.colony jayanaagar 1st block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Safe
near papanna hotel daynanda nagar slum jayanagar 1st block bengaluru.,Residential,Afternoon,Low,No,No,Outer,Low,Safe
near arif office 2nd cross arekempanahalli jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Safe
2nd cross arekempanahalli jayanagar 1st block bengaluru.,Residential,Night,Low,No,No,Outer,Low,Safe
near babulal tea hotel dayananda nagar 1st block jayanagar bengaluru.,Residential,Night,Low,No,No,Outer,Low,Safe
empty site cavery hotel bihind chunchaghta main road banglore,Residential,Morning,Low,No,No,Outer,Low,Safe
no 25.10 th cross chunchaghta main road bireshwra nagar banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
no 525. samudayabhavana road vasanthpura banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
no nil. c/r nagaesh house vaddarapally jambusavari dinne jp nagara banglore,Residential,Night,Low,No,No,Outer,Low,Safe
no 69. 6th cross 2nd main manjunh nagara 2nd main banglore,Residential,Morning,Low,No,No,Outer,Low,Safe
no 03.3rd floor 1st main sreyus colony jp nagara 7th phase banglore -56,Residential,Afternoon,Low,No,No,Outer,Low,Safe
kabab mahala kottanuru dinne main road jp nagara 7th cross banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
no 68. naional english school bireshwaranagara banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
no 17. benaka 15 a cross ags layout banglore city,Residential,Afternoon,Low,No,No,Outer,Low,Safe
no 08.c/o shivarama near govt school chunchanghta konanakunte post banglore-62,Residential,Afternoon,Low,No,No,Outer,Low,Safe
shiva shakti ricrion front near vinayaka thetra harinagara banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
smasana road buriyal ground road chunchaghta main road banglore,Residential,Afternoon,Low,No,No,Outer,Low,Safe
