
"Area","Zone","Time","People.Frequency","Is.Police_Station","Is.Bar","Tier","Residence.Level","Class"
"1","1","1","2","1","2","2","2","0"
"1","1","2","3","1","2","2","2","0"
"1","1","3","2","1","2","2","2","0"
"1","1","4","1","1","2","2","2","0"
"1","2","1","2","2","2","3","2","0"
"1","2","2","1","2","2","3","2","0"
"1","2","3","2","2","2","3","2","1"
"1","2","4","1","2","2","3","2","1"
"1","3","1","2","2","2","3","2","0"
"1","3","2","1","2","2","3","2","0"
"1","3","3","2","2","2","3","2","1"
"1","3","4","1","2","2","3","2","1"
"3","4","1","2","2","2","3","1","0"
"3","4","2","1","2","2","3","1","0"
"3","4","3","2","2","2","3","1","1"
"3","4","4","1","2","2","3","1","1"
"1","5","1","2","2","2","2","3","0"
"1","5","2","1","2","2","2","3","0"
"1","5","3","2","2","2","2","3","0"
"1","5","4","1","2","2","2","3","1"
"1","6","1","2","1","2","2","2","0"
"1","6","2","2","1","2","2","2","0"
"1","6","3","2","1","2","2","2","0"
"1","6","4","1","1","2","2","2","0"
"1","7","1","2","2","1","3","3","0"
"1","7","2","3","2","1","3","3","0"
"1","7","3","2","2","1","3","3","1"
"1","7","4","3","2","1","3","3","1"
"2","8","1","2","2","2","2","2","0"
"2","8","2","2","2","2","2","2","0"
"2","8","3","2","2","2","2","2","0"
"2","8","4","1","2","2","2","2","1"
"1","9","1","1","2","2","3","1","1"
"1","9","2","1","2","2","3","1","0"
"1","9","3","1","2","2","3","1","1"
"1","9","4","1","2","2","3","1","1"
"2","10","1","2","1","2","3","2","0"
"2","10","2","1","1","2","3","2","0"
"2","10","3","2","1","2","3","2","0"
"2","10","4","1","1","2","3","2","1"
"1","11","1","3","1","2","1","3","0"
"1","11","2","2","1","2","1","3","0"
"1","11","3","3","1","2","1","3","0"
"1","11","4","3","1","2","1","3","0"
"2","12","1","2","2","1","3","1","1"
"2","12","2","1","2","1","3","1","0"
"2","12","3","1","2","1","3","1","1"
"2","12","4","1","2","1","3","1","1"
"2","13","1","3","1","1","2","3","0"
"2","13","2","3","1","1","2","3","0"
"2","13","3","3","1","1","2","3","0"
"2","13","4","1","1","1","2","3","0"
"2","14","1","3","1","1","1","3","0"
"2","14","2","3","1","1","1","3","0"
"2","14","3","3","1","1","1","3","0"
"2","14","4","2","1","1","1","3","0"
"1","15","1","2","2","2","1","3","0"
"1","15","2","2","2","2","1","3","0"
"1","15","3","2","2","2","1","3","0"
"1","15","4","1","2","2","1","3","1"
"1","16","1","1","1","1","3","2","0"
"1","16","2","3","1","1","3","2","0"
"1","16","3","3","1","1","3","2","0"
"1","16","4","2","1","1","3","2","1"
"3","17","1","2","1","1","1","3","0"
"3","17","2","2","1","1","1","3","0"
"3","17","3","3","1","1","1","3","0"
"3","17","4","2","1","1","1","3","0"
"3","18","1","1","2","2","3","1","1"
"3","18","2","1","2","2","3","1","0"
"3","18","3","1","2","2","3","1","0"
"3","18","4","1","2","2","3","1","1"
"3","19","1","2","1","1","1","2","0"
"3","19","2","1","1","1","1","2","1"
"3","19","3","3","1","1","1","2","0"
"3","19","4","2","1","1","1","2","0"
"1","21","1","1","2","2","3","2","1"
"1","20","2","1","2","2","3","2","0"
"1","20","3","1","2","2","3","2","0"
"1","20","4","1","2","2","3","2","1"
"1","21","1","2","2","2","3","1","1"
"1","21","2","1","2","2","3","1","0"
"1","21","3","2","2","2","3","1","1"
"1","21","4","1","2","2","3","1","1"
"3","22","1","2","1","1","1","3","0"
"3","22","2","1","1","1","1","3","0"
"3","22","3","3","1","1","1","3","0"
"3","22","4","2","1","1","1","3","0"
"1","23","1","2","1","2","1","1","0"
"1","23","2","3","1","2","1","1","0"
"1","23","3","2","1","2","1","1","0"
"1","23","4","1","1","2","1","1","1"
"3","24","1","2","2","2","3","1","1"
"3","24","2","1","2","2","3","1","0"
"3","24","3","2","2","2","3","1","1"
"3","24","4","1","2","2","3","1","1"
"1","25","1","2","2","2","1","3","0"
"1","25","2","2","2","2","1","3","0"
"1","25","3","2","2","2","1","3","0"
"1","25","4","1","2","2","1","3","1"
"2","26","1","3","2","2","1","3","0"
"2","26","2","2","2","2","1","3","0"
"2","26","3","3","2","2","1","3","0"
"2","26","4","1","2","2","1","3","1"
